Country,Population(millions),Heart disease Disability(DALYS lost per 1000 population),Heart disease Mortality(number of deaths),Stroke Disability(DALYS lost per 1000 population),Stroke Mortality(number of deaths),Rheumatic heart disease(number of deaths),Percentage of smokers men,Percentage of smokers women,Diabetes(percentage),Number of publications,Legal status of smoking,Country
Mexico,101965,6,51454,4,26478,1093,36.5,14.3,3.9,201,restricted,Mexico
"Micronesia, Federated States of",108,12,64,14,69,2,,,8.6,,not regulated,"Micronesia, Federated States of"
"Moldova, Republic of",4270,23,18559,15,7848,264,,,5.9,,restricted,"Moldova, Republic of"
Monaco,34,3,27,3,22,1,,,8.8,7,unknown,Monaco
Mongolia,2559,8,1153,25,2515,145,46.2,7.3,2.5,1,restricted,Mongolia
Morocco,30072,14,29934,5,10607,808,32.6,0.6,2.6,7,restricted,Morocco
Mozambique,18537,8,7969,10,8896,246,,,1.6,1,unknown,Mozambique
Myanmar,48852,17,58478,11,33406,3746,55.5,12.2,2.0,,unknown,Myanmar
Namibia,1961,8,996,10,1108,25,33.8,16.1,3.1,,not regulated,Namibia
Nauru,13,22,17,10,7,0,56.8,64.7,27.8,,banned,Nauru
Nepal,24609,18,23314,10,11961,1648,61.5,34.6,3.9,3,banned,Nepal
Netherlands,16067,5,19045,4,12459,16,38.3,32.8,3.5,917,restricted,Netherlands
New Zealand,3846,7,6141,4,2699,139,28.1,28.7,6.7,131,restricted,New Zealand
Nicaragua,5335,8,2680,7,1768,70,,,2.9,,restricted,Nicaragua
Niger,11544,11,4423,13,4831,439,,,2.5,,unknown,Niger
Nigeria,120911,11,64778,12,69932,4795,16.3,3.6,3.4,18,banned,Nigeria
Niue,2,10,1,12,1,0,36.8,14.0,6.3,,restricted,Niue
Norway,4514,5,8886,3,4817,103,40.3,39.0,3.9,185,restricted,Norway
Oman,2768,17,1765,4,375,12,23.6,2.9,9.9,19,unknown,Oman
Pakistan,149911,18,154338,9,78512,11604,30.3,3.8,7.7,12,banned,Pakistan
Palau,20,14,17,14,16,0,50.9,22.6,8.6,,banned,Palau
Panama,3064,5,1628,5,1489,30,35.1,17.7,3.5,1,unknown,Panama
Papua New Guinea,5586,18,3994,10,1960,351,48.9,0.0,6.5,3,banned,Papua New Guinea
Paraguay,5740,7,2606,10,2881,36,45.8,15.6,3.7,1,restricted,Paraguay
Peru,26767,4,10615,4,8084,157,,,5.2,3,restricted,Peru
Philippines,78580,10,45378,7,24368,2812,59.6,13.8,7.1,2,restricted,Philippines
Poland,38622,10,77151,7,43032,1277,51.5,27.9,4.1,187,banned,Poland
Portugal,10049,5,10927,9,20069,189,44.2,19.7,8.6,51,restricted,Portugal
Qatar,601,9,238,4,75,4,,,10.1,7,unknown,Qatar
Romania,22387,13,60718,13,52272,566,33.3,10.8,6.6,16,unknown,Romania
Russian Federation,144082,27,674881,19,517424,8126,58.1,15.8,4.2,13,banned,Russian Federation
Rwanda,8272,10,3493,12,3811,101,,,0.9,,not regulated,Rwanda
